Brand,Perusahaan,Bidang Bisnis,Konsep Bisnis,Kisaran Investasi,Alamat,Telepon,Kisaran Investasi ,Bidang Usaha,Konsep Usaha,Investasi
Bakmi Mada,PT. Raos Aneka Pangan,Bakmi,Franchise,Rp.50jt - Rp. 500jt,Jl. Raya Kodam Bintaro Permai No.9R - Tangerang,021-33432008,,,,
Bakso Malang Cak Tio,Bakso Malang Cak Tio,F&B,BO,n/a,Jl. Veteran Marga Jaya Bekasi No.66 Magrajaya - Bekasi,021-88856037,,,,
Tunas Pelita International,PT Tunas Pelita International,Pendidikan,Franchise,1Milyar,Jl.Karangsari Blok B7 No.64 Pluit Jakarta,021-66695666,,,,
Hot Cwie Mie Malang R Rollies Restaurant,Manajemen Hot Cwie Mie Malang,F&B,Franchise,n/a,Jl. Radar Auri No.11-13 Cibubur Jakarta Timur,021-8732048/49,,,,
Super Kids,PT Eka Kolese Indonesia Australia,Preschool,Network,60jt,Jl.Kemang Timur No.90 Jakarta Selatan,021-71792880,,,,
Bakmi Margonda,Bakmi Margonda,Restaurant,Bagi Hasil,100jt,Jl. Margonda Raya No.342,021-78886544,,,,
ILP,PT Intisari Langkah Positif,Pendidikan,Franchise,"700jt-1,2M",Jl.Raya Pasar Minggu No.39ª Jakarta Selatan,021-79192906/021-7905210,,,,
Global Art Indonesia,PT Global Indonesia astistika Tunggal,Pendidikan Kreativitas Lukis Anak,Franchise,350-500jt,Karawaci Office Park Blok M Mo.17,021-55794630,,,,
Bobby Steak,PT Sushantco Indonesia,F&B,Franchise,207-347jt,Jl. Tanjung Duren Utara No.464 Grogol Petamburan – Jakarta,021-5670081,,,,
Red Ginger Corner,Tri Argo Sukses,F&B,BO,5jt,Ruko Taman Semanan Indah Blok A1 No.1 Duri Kosambi Cengkareng,012-54382775/33086966,,,,
IEXP,Inter Expedisi,Business Service,Franchise,35jt,Gd. Perkantoran Pulomas I G2 Lt.3 Jl. A.Yani No.2 Jakarta,021-47869376,,,,
D’Afas,CV Mulya Lestari,Konveksi Pakaian,Agen,Rp. 30jt,Jl.Garuda Raya Kav C 115 Komp. Pajak Jurangmangu Timur Tangerang,021-73440907,,,,
Leha-leha Pusat Kecantikan,PT Kreasi Sarana Rekatama,Klinik Kecantikan/Spa Salon,Franchise,910jt,Ruko Perkantodan Ruko Bumi Satria Kencana Blok B NO.1 Jl. Raya Kalimalang Bekasi,021-88952042,,,,
Coldwell Banker Property,Citra Bangun Property,Property,Franchise,Rp. 400jt - Rp. 500jt,Kawasan Bisnis Granadha 12B Floor Jl. Jend. Sudirman Kav 5C Plaza semanggi Gd. Veteran Jakarta,021-25539388,,,,
Belvida Kebab,Belvida Kebab,F&B,BO,Rp.30jt,Taman Alfa Indah Blok B4 No.15 Joglo Kembangan Jakarta Barat,021-5852740,,,,
Apple Tree Preschool,Apple Tree Preschool,Pendidikan,Franchise,2M,Jl. Muara Karang Blok I1 Selatan No.26-28 Jakarta,021-6617674,,,,
Rice bowl,PT Ricebowl Indonesia,F&B,Franchise,"1,3M",Ruko Mediterania Kebon Jeruk Jl. Meruya Ilir No.10 jakarta,021-58902665,,,,
Bakso Keju,PT Bakso Keju Malang,F&B,Franchise,30-35jt,Jl.Lokon No.4 - Malang,0812-3239725,,,,
